,from,job_id,job_title,job_company,job_location,job_link
258,Indeed,fc92bc8d06120723,Data Scientist,TSR Consulting,"New York, NY 10003 (Greenwich Village area)",http://www.indeed.com/rc/clk?jk=fc92bc8d06120723
259,Indeed,44f5029763414b9a,Senior Quantitative Risk Analyst,AIG,"New York, NY",http://www.indeed.com/rc/clk?jk=44f5029763414b9a
261,Indeed,dd4c690418daa3cf,Data Scientist (Media Startup),Averity,"New York, NY",http://www.indeed.com/rc/clk?jk=dd4c690418daa3cf
262,Indeed,60fdff75bb417dfb,Research Data Manager,Springer Nature,"New York, NY",http://www.indeed.com/rc/clk?jk=60fdff75bb417dfb
263,Indeed,2e6f02bb06c0c9ab,"Sr. Technical Product Manager, Recommendation Systems",WeWork,"New York, NY 10005 (Financial District area)",http://www.indeed.com/rc/clk?jk=2e6f02bb06c0c9ab
264,Indeed,2a6f53935b29504b,Principal Quantitative Analyst,Capital One,"New York, NY",http://www.indeed.com/rc/clk?jk=2a6f53935b29504b
265,Indeed,3c9bf7d2096836bf,Data Scientist,Bond Street,"New York, NY 10012 (Little Italy area)",http://www.indeed.com/rc/clk?jk=3c9bf7d2096836bf
266,Indeed,f3d626aed983041e,Machine Learning,Twitter,"New York, NY",http://www.indeed.com/rc/clk?jk=f3d626aed983041e
272,Indeed,dbdd26a3bdb5394e,Data Scientist,BuzzFeed,"New York, NY",http://www.indeed.com/rc/clk?jk=dbdd26a3bdb5394e
273,Indeed,ba1f1554334f0c53,"Research Scientist, PhD University Grad (Machine Learning)",Facebook,"New York, NY",http://www.indeed.com/rc/clk?jk=ba1f1554334f0c53
274,Indeed,1493f7c748fe6079,"Instructor, Sr. Data Scientist",Galvanize,"New York, NY 10013 (Tribeca area)",http://www.indeed.com/rc/clk?jk=1493f7c748fe6079
275,Indeed,390a2c049d7a8d56,Sr. Data Scientist,Hudson Data,"New York, NY",http://www.indeed.com/rc/clk?jk=390a2c049d7a8d56
276,Indeed,959be262b866ae65,Product Manager - Data & Analytics,Elsevier,"New York, NY 10018 (Clinton area)",http://www.indeed.com/rc/clk?jk=959be262b866ae65
277,Indeed,b2dbb3d2a3226f93,Data Scientist,SGA,"New York, NY 10003 (Greenwich Village area)",http://www.indeed.com/rc/clk?jk=b2dbb3d2a3226f93
278,Indeed,050a565a80167bfe,Quantitative Analyst - Model Validation,Soci?t? G?n?rale,"New York, NY",http://www.indeed.com/rc/clk?jk=050a565a80167bfe
279,Indeed,1613453bd4a9bc19,Data Scientist,comScore,"New York, NY",http://www.indeed.com/rc/clk?jk=1613453bd4a9bc19
280,Indeed,9a69672ac070d286,"Senior Data Manager, Family and Child Health Administration",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",http://www.indeed.com/rc/clk?jk=9a69672ac070d286
281,Indeed,91b17cfe042921fd,Disaster Recovery Data Analyst,ICF,"New York, NY",http://www.indeed.com/rc/clk?jk=91b17cfe042921fd
287,Indeed,c1777992369aedb2,"Associate Instructor, Data Scientist",Galvanize,"New York, NY 10013 (Tribeca area)",http://www.indeed.com/rc/clk?jk=c1777992369aedb2
288,Indeed,ca87b6b9040f4602,Regulatory and Data Specialist,Weill Cornell Medicine,"New York, NY",http://www.indeed.com/rc/clk?jk=ca87b6b9040f4602
289,Indeed,758eaa60063f00f9,Senior Data Scientist,AdTheorent,"New York, NY",http://www.indeed.com/rc/clk?jk=758eaa60063f00f9
290,Indeed,47118b7397d51e37,Data Scientist,Bonobos,"New York, NY",http://www.indeed.com/rc/clk?jk=47118b7397d51e37
291,Indeed,5964141508b5313e,Data Scientist,Isaacson Search Company,"New York, NY",http://www.indeed.com/rc/clk?jk=5964141508b5313e
292,Indeed,48e3747a176a5981,Machine Learning Researcher,Schrodinger,"New York, NY",http://www.indeed.com/rc/clk?jk=48e3747a176a5981
293,Indeed,a4f0a2c992fd36ff,"Associate Resarcher II, Liver Department",Mount Sinai Health System,"New York, NY 10029 (Yorkville area)",http://www.indeed.com/rc/clk?jk=a4f0a2c992fd36ff
294,Indeed,4a79f9b847bcb70d,Machine Learning Engineer,AdTheorent,"New York, NY",http://www.indeed.com/rc/clk?jk=4a79f9b847bcb70d
295,Indeed,04cedc2f749b59d0,EpicCare Analyst,NYU Langone Health System,"New York, NY",http://www.indeed.com/rc/clk?jk=04cedc2f749b59d0
296,Indeed,58350d807ed2cc01,Statistical/ Database Marketing Analyst,FULLBEAUTY Brands,"New York, NY",http://www.indeed.com/rc/clk?jk=58350d807ed2cc01
